team1,team2,venue,city,toss_winner,toss_decision,winner
Australia,South Africa,Western Australia Cricket Association Ground,Perth,South Africa,bat,South Africa
Australia,South Africa,Bellerive Oval,Hobart,South Africa,field,South Africa
Australia,South Africa,Adelaide Oval,,South Africa,bat,Australia
Australia,Pakistan,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,bat,Australia
Australia,Pakistan,Melbourne Cricket Ground,,Pakistan,bat,Australia
Australia,Pakistan,Sydney Cricket Ground,,Australia,bat,Australia
Australia,Pakistan,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,bat,Australia
Australia,Pakistan,Melbourne Cricket Ground,,Australia,bat,Pakistan
Australia,Pakistan,Western Australia Cricket Association Ground,Perth,Australia,field,Australia
Australia,Pakistan,Sydney Cricket Ground,,Australia,bat,Australia
Australia,Pakistan,Adelaide Oval,,Australia,bat,Australia
Australia,Sri Lanka,Melbourne Cricket Ground,,Sri Lanka,field,Sri Lanka
Australia,Sri Lanka,"Simonds Stadium, South Geelong",Victoria,Sri Lanka,field,Sri Lanka
Australia,Sri Lanka,Adelaide Oval,,Sri Lanka,field,Australia
Australia,New Zealand,Sydney Cricket Ground,,Australia,bat,Australia
Australia,New Zealand,Manuka Oval,Canberra,New Zealand,field,Australia
Australia,New Zealand,Melbourne Cricket Ground,,Australia,bat,Australia
Northern Knights,Leinster Lightning,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Northern Knights,bat,Leinster Lightning
Leinster Lightning,North-West Warriors,New Strabane Park,Strabane,Leinster Lightning,bat,Leinster Lightning
Northern Knights,Leinster Lightning,"Observatory Lane, Rathmines, Dublin",Dublin,Northern Knights,bat,Leinster Lightning
North-West Warriors,Northern Knights,"The Lawn, Waringstown",Waringstown,North-West Warriors,bat,Northern Knights
North-West Warriors,Northern Knights,"The Green, Comber",Comber,North-West Warriors,bat,North-West Warriors
Knights,Cape Cobras,"New Wanderers Stadium, Johannesburg",Johannesburg,Cape Cobras,field,Knights
Titans,Lions,"New Wanderers Stadium, Johannesburg",Johannesburg,Lions,field,Titans
Dolphins,Warriors,"Kingsmead, Durban",Durban,Warriors,field,Warriors
Cape Cobras,Titans,"Boland Park, Paarl",Paarl,Cape Cobras,bat,Titans
Knights,Titans,"Willowmoore Park, Benoni",Benoni,Knights,bat,Titans
Titans,Dolphins,"Mangaung Oval, Bloemfontein",Bloemfontein,Dolphins,field,Titans
Warriors,Knights,"Mangaung Oval, Bloemfontein",Bloemfontein,Warriors,bat,Warriors
Lions,Cape Cobras,"Senwes Park, Potchefstroom",Potchefstroom,Lions,bat,Lions
Lions,Warriors,"St George's Park, Port Elizabeth",Port Elizabeth,Lions,bat,Warriors
Knights,Dolphins,"Mangaung Oval, Bloemfontein",Bloemfontein,Knights,bat,Dolphins
Titans,Knights,"Diamond Oval, Kimberley",Kimberley,Knights,field,Titans
Lions,Dolphins,"New Wanderers Stadium, Johannesburg",Johannesburg,Lions,bat,Lions
Knights,Warriors,"St George's Park, Port Elizabeth",Port Elizabeth,Knights,bat,Warriors
Titans,Dolphins,"Kingsmead, Durban",Durban,Titans,bat,Dolphins
Lions,Knights,"Diamond Oval, Kimberley",Kimberley,Lions,bat,Lions
Titans,Warriors,"SuperSport Park, Centurion",Centurion,Warriors,field,Warriors
Lions,Warriors,"Kingsmead, Durban",Durban,Lions,bat,Lions
Dolphins,Cape Cobras,"Kingsmead, Durban",Durban,Dolphins,bat,Cape Cobras
Knights,Cape Cobras,"Newlands, Cape Town",Cape Town,Knights,bat,Cape Cobras
Dolphins,Warriors,"Buffalo Park, East London",East London,Dolphins,bat,Warriors
Titans,Lions,"SuperSport Park, Centurion",Centurion,Lions,field,Titans
Lions,Knights,"Senwes Park, Potchefstroom",Potchefstroom,Knights,field,Knights
Titans,Warriors,"Buffalo Park, East London",East London,Warriors,field,Titans
Dolphins,Knights,"Kingsmead, Durban",Durban,Knights,field,Knights
Lions,Warriors,"St George's Park, Port Elizabeth",Port Elizabeth,Lions,bat,Warriors
Titans,Warriors,"SuperSport Park, Centurion",Centurion,Warriors,field,Titans
Papua New Guinea,Namibia,Amini Park,Port Moresby,Papua New Guinea,bat,Papua New Guinea
Papua New Guinea,Namibia,Amini Park,Port Moresby,Namibia,bat,Papua New Guinea
Papua New Guinea,Namibia,Amini Park,Port Moresby,Namibia,bat,Papua New Guinea
Netherlands,Nepal,VRA Ground,Amstelveen,Netherlands,field,Netherlands
Kenya,Hong Kong,Gymkhana Club Ground,Nairobi,Kenya,field,Hong Kong
Scotland,Hong Kong,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,bat,Scotland
Ireland,Hong Kong,"Bready Cricket Club, Magheramason",Londonderry,Hong Kong,bat,Hong Kong
Zimbabwe,India,Harare Sports Club,,India,field,India
Zimbabwe,India,Harare Sports Club,,India,field,India
Zimbabwe,India,Harare Sports Club,,Zimbabwe,bat,India
Zimbabwe,India,Harare Sports Club,,India,field,Zimbabwe
Zimbabwe,India,Harare Sports Club,,Zimbabwe,bat,India
Zimbabwe,India,Harare Sports Club,,Zimbabwe,field,India
St Lucia Zouks,St Kitts and Nevis Patriots,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,St Kitts and Nevis Patriots,field,St Lucia Zouks
Guyana Amazon Warriors,St Lucia Zouks,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,St Lucia Zouks,field,St Lucia Zouks
St Lucia Zouks,Trinbago Knight Riders,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,Trinbago Knight Riders,field,Trinbago Knight Riders
Papua New Guinea,Kenya,Amini Park,Port Moresby,Kenya,bat,Papua New Guinea
Papua New Guinea,Kenya,Amini Park,Port Moresby,Papua New Guinea,bat,Papua New Guinea
Trinbago Knight Riders,Guyana Amazon Warriors,Providence Stadium,Guyana,Guyana Amazon Warriors,field,Trinbago Knight Riders
Barbados Tridents,St Kitts and Nevis Patriots,"Kensington Oval, Bridgetown",Barbados,St Kitts and Nevis Patriots,field,Barbados Tridents
Barbados Tridents,Trinbago Knight Riders,"Kensington Oval, Bridgetown",Barbados,Trinbago Knight Riders,field,Trinbago Knight Riders
Barbados Tridents,St Lucia Zouks,"Kensington Oval, Bridgetown",Barbados,St Lucia Zouks,field,Barbados Tridents
Guyana Amazon Warriors,Jamaica Tallawahs,"Sabina Park, Kingston",Jamaica,Jamaica Tallawahs,field,Jamaica Tallawahs
Jamaica Tallawahs,St Kitts and Nevis Patriots,"Sabina Park, Kingston",Jamaica,St Kitts and Nevis Patriots,field,Jamaica Tallawahs
Jamaica Tallawahs,Trinbago Knight Riders,"Sabina Park, Kingston",Jamaica,Trinbago Knight Riders,field,Jamaica Tallawahs
Jamaica Tallawahs,Barbados Tridents,"Sabina Park, Kingston",Jamaica,Barbados Tridents,field,Jamaica Tallawahs
New Zealand,Bangladesh,Hagley Oval,Christchurch,New Zealand,bat,New Zealand
New Zealand,Bangladesh,Saxton Oval,Nelson,Bangladesh,field,New Zealand
New Zealand,Bangladesh,Saxton Oval,Nelson,Bangladesh,bat,New Zealand
New Zealand,Bangladesh,McLean Park,Napier,Bangladesh,bat,New Zealand
New Zealand,Bangladesh,Bay Oval,Mount Maunganui,Bangladesh,field,New Zealand
New Zealand,Bangladesh,Bay Oval,Mount Maunganui,Bangladesh,field,New Zealand
New Zealand,Bangladesh,Basin Reserve,Wellington,New Zealand,field,New Zealand
New Zealand,Bangladesh,Hagley Oval,Christchurch,New Zealand,field,New Zealand
New Zealand,Pakistan,Hagley Oval,Christchurch,New Zealand,field,New Zealand
New Zealand,Pakistan,Seddon Park,Hamilton,Pakistan,field,New Zealand
New Zealand,Australia,Eden Park,Auckland,Australia,field,New Zealand
New Zealand,Australia,Seddon Park,Hamilton,New Zealand,bat,New Zealand
New Zealand,South Africa,Eden Park,Auckland,New Zealand,field,South Africa
New Zealand,South Africa,Seddon Park,Hamilton,South Africa,field,South Africa
New Zealand,South Africa,Hagley Oval,Christchurch,South Africa,field,New Zealand
New Zealand,South Africa,Westpac Stadium,Wellington,South Africa,bat,South Africa
New Zealand,South Africa,Seddon Park,Hamilton,South Africa,bat,New Zealand
New Zealand,South Africa,Eden Park,Auckland,South Africa,field,South Africa
New Zealand,South Africa,Basin Reserve,Wellington,South Africa,field,South Africa
England,Bangladesh,Kennington Oval,London,England,field,England
South Africa,Sri Lanka,Kennington Oval,London,Sri Lanka,field,South Africa
India,Pakistan,Edgbaston,Birmingham,Pakistan,field,India
England,New Zealand,Sophia Gardens,Cardiff,New Zealand,field,England
Pakistan,South Africa,Edgbaston,Birmingham,South Africa,bat,Pakistan
India,Sri Lanka,Kennington Oval,London,Sri Lanka,field,Sri Lanka
Bangladesh,New Zealand,Sophia Gardens,Cardiff,New Zealand,bat,Bangladesh
England,Australia,Edgbaston,Birmingham,England,field,England
India,South Africa,Kennington Oval,London,India,field,India
Pakistan,Sri Lanka,Sophia Gardens,Cardiff,Pakistan,field,Pakistan
England,Pakistan,Sophia Gardens,Cardiff,Pakistan,field,Pakistan
Bangladesh,India,Edgbaston,Birmingham,India,field,India
India,Pakistan,Kennington Oval,London,India,field,Pakistan
West Indies,India,"Sir Vivian Richards Stadium, North Sound",Antigua,India,bat,India
West Indies,India,"Darren Sammy National Cricket Stadium, Gros Islet",St Lucia,West Indies,field,India
Sydney Thunder,Sydney Sixers,Sydney Showground Stadium,,Sydney Sixers,field,Sydney Sixers
Adelaide Strikers,Brisbane Heat,Adelaide Oval,,Adelaide Strikers,field,Brisbane Heat
Melbourne Renegades,Sydney Thunder,Docklands Stadium,Melbourne,Sydney Thunder,field,Melbourne Renegades
Sydney Sixers,Hobart Hurricanes,Sydney Cricket Ground,,Sydney Sixers,field,Hobart Hurricanes
Perth Scorchers,Adelaide Strikers,Western Australia Cricket Association Ground,Perth,Adelaide Strikers,field,Perth Scorchers
Hobart Hurricanes,Melbourne Stars,Bellerive Oval,Hobart,Hobart Hurricanes,bat,Melbourne Stars
Sydney Sixers,Perth Scorchers,Sydney Cricket Ground,,Perth Scorchers,bat,Sydney Sixers
Sydney Thunder,Brisbane Heat,Sydney Showground Stadium,,Brisbane Heat,field,Brisbane Heat
Melbourne Renegades,Perth Scorchers,Docklands Stadium,Melbourne,Perth Scorchers,field,Perth Scorchers
Brisbane Heat,Hobart Hurricanes,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Brisbane Heat,field,Brisbane Heat
Adelaide Strikers,Sydney Sixers,Adelaide Oval,,Sydney Sixers,field,Adelaide Strikers
Melbourne Stars,Melbourne Renegades,Melbourne Cricket Ground,,Melbourne Stars,field,Melbourne Renegades
Perth Scorchers,Sydney Thunder,Western Australia Cricket Association Ground,Perth,Sydney Thunder,field,Perth Scorchers
Hobart Hurricanes,Adelaide Strikers,Bellerive Oval,Hobart,Hobart Hurricanes,field,Hobart Hurricanes
Brisbane Heat,Sydney Sixers,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Sydney Sixers,field,Sydney Sixers
Sydney Thunder,Melbourne Stars,Sydney Showground Stadium,,Sydney Thunder,field,Sydney Thunder
Perth Scorchers,Brisbane Heat,Western Australia Cricket Association Ground,Perth,Perth Scorchers,bat,Brisbane Heat
Adelaide Strikers,Hobart Hurricanes,Adelaide Oval,,Adelaide Strikers,field,Adelaide Strikers
Melbourne Renegades,Melbourne Stars,Docklands Stadium,Melbourne,Melbourne Renegades,field,Melbourne Stars
Hobart Hurricanes,Sydney Thunder,Bellerive Oval,Hobart,Sydney Thunder,field,Sydney Thunder
Sydney Sixers,Melbourne Renegades,Sydney Cricket Ground,,Melbourne Renegades,bat,Sydney Sixers
Melbourne Stars,Adelaide Strikers,Melbourne Cricket Ground,,Melbourne Stars,field,Melbourne Stars
Brisbane Heat,Perth Scorchers,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Brisbane Heat,field,Perth Scorchers
Melbourne Renegades,Hobart Hurricanes,Docklands Stadium,Melbourne,Hobart Hurricanes,field,Hobart Hurricanes
Sydney Sixers,Sydney Thunder,Sydney Cricket Ground,,Sydney Sixers,bat,Sydney Thunder
Perth Scorchers,Melbourne Stars,Western Australia Cricket Association Ground,Perth,Perth Scorchers,bat,Melbourne Stars
Adelaide Strikers,Melbourne Renegades,Adelaide Oval,,Adelaide Strikers,field,Melbourne Renegades
Melbourne Stars,Brisbane Heat,Melbourne Cricket Ground,,Melbourne Stars,bat,Brisbane Heat
Sydney Thunder,Adelaide Strikers,Sydney Showground Stadium,,Sydney Thunder,field,Adelaide Strikers
Brisbane Heat,Melbourne Renegades,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Brisbane Heat,field,Melbourne Renegades
Hobart Hurricanes,Perth Scorchers,Bellerive Oval,Hobart,Perth Scorchers,field,Perth Scorchers
Melbourne Stars,Sydney Sixers,Melbourne Cricket Ground,,Sydney Sixers,field,Sydney Sixers
Perth Scorchers,Melbourne Stars,Western Australia Cricket Association Ground,Perth,Perth Scorchers,field,Perth Scorchers
Perth Scorchers,Sydney Sixers,Western Australia Cricket Association Ground,Perth,Perth Scorchers,field,Perth Scorchers
Zimbabwe,New Zealand,Queens Sports Club,Bulawayo,Zimbabwe,bat,New Zealand
Zimbabwe,New Zealand,Queens Sports Club,Bulawayo,New Zealand,bat,New Zealand
Guyana Amazon Warriors,Jamaica Tallawahs,"Warner Park, Basseterre",,Guyana Amazon Warriors,field,Guyana Amazon Warriors
St Lucia Zouks,Trinbago Knight Riders,"Warner Park, Basseterre",St Kitts,Trinbago Knight Riders,field,Trinbago Knight Riders
Jamaica Tallawahs,Trinbago Knight Riders,"Warner Park, Basseterre",St Kitts,Trinbago Knight Riders,field,Jamaica Tallawahs
Guyana Amazon Warriors,Jamaica Tallawahs,"Warner Park, Basseterre",St Kitts,Jamaica Tallawahs,field,Jamaica Tallawahs
Trinbago Knight Riders,St Lucia Zouks,"Queen's Park Oval, Port of Spain",Trinidad,St Lucia Zouks,field,St Lucia Zouks
Trinbago Knight Riders,Barbados Tridents,"Queen's Park Oval, Port of Spain",Trinidad,Barbados Tridents,field,Trinbago Knight Riders
Trinbago Knight Riders,Guyana Amazon Warriors,"Queen's Park Oval, Port of Spain",Trinidad,Guyana Amazon Warriors,field,Guyana Amazon Warriors
Trinbago Knight Riders,Jamaica Tallawahs,"Queen's Park Oval, Port of Spain",Trinidad,Jamaica Tallawahs,field,Jamaica Tallawahs
Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Hong Kong,Hong Kong,bat,Hong Kong
Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,bat,Papua New Guinea
Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,bat,Hong Kong
West Indies,England,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,field,England
West Indies,England,"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies,bat,England
West Indies,England,"Kensington Oval, Bridgetown",Barbados,West Indies,field,England
England,Ireland,County Ground,Bristol,Ireland,bat,England
England,Ireland,Lord's,London,Ireland,field,England
Bangladesh,England,Shere Bangla National Stadium,Mirpur,England,bat,England
Bangladesh,England,Shere Bangla National Stadium,Mirpur,England,field,Bangladesh
Bangladesh,England,Zahur Ahmed Chowdhury Stadium,Chittagong,England,field,England
Bangladesh,England,Zahur Ahmed Chowdhury Stadium,Chittagong,England,bat,England
Bangladesh,England,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,Bangladesh
India,New Zealand,Green Park,Kanpur,India,bat,India
India,New Zealand,Eden Gardens,Kolkata,India,bat,India
India,New Zealand,Holkar Cricket Stadium,Indore,India,bat,India
India,New Zealand,Himachal Pradesh Cricket Association Stadium,Dharmasala,India,field,India
India,New Zealand,Feroz Shah Kotla,Delhi,India,field,New Zealand
India,New Zealand,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,field,India
India,New Zealand,JSCA International Stadium Complex,Ranchi,New Zealand,bat,New Zealand
India,New Zealand,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,bat,India
England,South Africa,Headingley,Leeds,South Africa,field,England
England,South Africa,The Rose Bowl,Southampton,South Africa,field,England
England,South Africa,Lord's,London,South Africa,field,South Africa
England,South Africa,The Rose Bowl,Southampton,South Africa,bat,England
England,South Africa,County Ground,Taunton,England,field,South Africa
England,South Africa,Sophia Gardens,Cardiff,South Africa,field,England
England,South Africa,Lord's,London,England,bat,England
South Africa,England,Trent Bridge,Nottingham,South Africa,bat,South Africa
England,South Africa,Kennington Oval,London,England,bat,England
England,South Africa,Old Trafford,Manchester,England,bat,England
England,West Indies,Edgbaston,Birmingham,England,bat,England
England,West Indies,Headingley,Leeds,England,bat,West Indies
West Indies,England,Lord's,London,West Indies,bat,England
West Indies,England,Riverside Ground,Chester-le-Street,England,field,West Indies
West Indies,England,Old Trafford,Manchester,West Indies,bat,England
England,West Indies,County Ground,Bristol,West Indies,field,England
West Indies,England,Kennington Oval,London,England,field,England
West Indies,England,The Rose Bowl,Southampton,England,field,England
Ireland,New Zealand,Malahide,Dublin,Ireland,field,New Zealand
Bangladesh,New Zealand,Clontarf Cricket Club Ground,Dublin,New Zealand,field,New Zealand
Ireland,Bangladesh,Malahide,Dublin,Bangladesh,field,Bangladesh
Ireland,New Zealand,Malahide,Dublin,Ireland,field,New Zealand
Bangladesh,New Zealand,Clontarf Cricket Club Ground,Dublin,Bangladesh,field,Bangladesh
India,England,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,bat,India
India,England,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,England,bat,India
India,England,Wankhede Stadium,Mumbai,England,bat,India
India,England,"MA Chidambaram Stadium, Chepauk",Chennai,England,bat,India
